provider_id,N_P_D_S_T_C,R_D_S_T_C,L_E_D_S_T_C,H_E_D_S_T_C,N_P_C_L,R_C_L,L_E_C_L,H_E_C_L,N_P_B_C,R_B_C
10022,Not Available,Not Available,Not Available,Not Available,1116,0.32,0,0.75,68,4.43
10023,170,155.29,121.72,188.86,11283,0.24,0,0.49,4551,2.59
10024,95,124.56,83.28,165.84,9776,0.26,0,0.53,2888,2.12
10025,11,Not Available,Not Available,Not Available,2544,0.26,0,0.63,333,2.31
10027,Not Available,Not Available,Not Available,Not Available,575,0.34,0,0.77,Not Available,Not Available
10029,145,141.06,104.33,177.79,11112,0.33,0.08,0.58,4139,2.39
10032,Not Available,Not Available,Not Available,Not Available,695,0.32,0,0.75,3,Not Available
10033,594,157.99,137.59,178.39,24057,0.71,0.51,0.91,10804,5.36
10034,7,Not Available,Not Available,Not Available,1450,0.3,0,0.71,103,4.11
10035,54,165.41,120.76,210.06,6191,0.25,0,0.56,1550,2.81
10036,19,Not Available,Not Available,Not Available,3265,0.27,0,0.66,540,5.08
10038,34,115.7,69.19,162.21,4672,0.35,0.02,0.68,1008,4.62
10039,391,133.14,109.54,156.74,28969,0.24,0.06,0.42,10905,3.58
10040,193,105.05,72.14,137.96,8787,0.66,0.39,0.93,2699,4.71
10043,Not Available,Not Available,Not Available,Not Available,528,0.32,0,0.75,Not Available,Not Available
10044,Not Available,Not Available,Not Available,Not Available,1065,0.32,0,0.75,35,4.51
10045,6,Not Available,Not Available,Not Available,1398,0.31,0,0.72,51,5.73
10046,108,123.37,83.07,163.67,8002,0.16,0,0.45,1795,3.85
10047,Not Available,Not Available,Not Available,Not Available,1520,0.32,0,0.75,Not Available,Not Available
10049,6,Not Available,Not Available,Not Available,3465,0.37,0,0.76,575,3.97
10050,Not Available,Not Available,Not Available,Not Available,1279,0.31,0,0.72,64,4.44
10051,Not Available,Not Available,Not Available,Not Available,612,0.34,0,0.77,Not Available,Not Available
10052,Not Available,Not Available,Not Available,Not Available,965,0.33,0,0.76,Not Available,Not Available
10054,19,Not Available,Not Available,Not Available,3304,0.35,0,0.72,372,5.77
10055,97,144.56,102.81,186.31,9736,0.23,0,0.5,3679,3.1
10056,227,133.44,101.22,165.66,16369,0.49,0.25,0.73,6938,5.43
10058,Not Available,Not Available,Not Available,Not Available,269,0.34,0,0.77,Not Available,Not Available
10059,Not Available,Not Available,Not Available,Not Available,1876,0.42,0.01,0.83,11,Not Available
10061,18,Not Available,Not Available,Not Available,3883,0.28,0,0.67,273,7.01
10062,5,Not Available,Not Available,Not Available,1642,0.31,0,0.72,94,4.28
10065,35,92.86,44.29,141.43,3068,0.43,0.06,0.8,659,5
10066,Not Available,Not Available,Not Available,Not Available,571,0.32,0,0.75,3,Not Available
10069,Not Available,Not Available,Not Available,Not Available,1469,0.32,0,0.75,65,4.39
10073,Not Available,Not Available,Not Available,Not Available,1249,0.32,0,0.75,11,Not Available
10078,155,132.64,97.69,167.59,9964,0.24,0,0.49,3286,4.89
10079,15,Not Available,Not Available,Not Available,3284,0.33,0,0.7,381,6.84
10083,44,115.25,68.52,161.98,4869,0.44,0.09,0.79,922,2.86
10085,86,115.24,75.63,154.85,6444,0.36,0.05,0.67,1490,3.2
10086,13,Not Available,Not Available,Not Available,2423,0.29,0,0.68,362,5.1
10087,46,176.12,129.32,222.92,2210,0.63,0.24,1.02,902,6.26
10089,27,115.6,68.32,162.88,4605,0.21,0,0.56,1042,2.48
10090,117,138.33,99.21,177.45,9259,0.44,0.17,0.71,3465,5.93
10091,Not Available,Not Available,Not Available,Not Available,645,0.33,0,0.76,14,Not Available
10092,399,117.05,90.81,143.29,21658,0.38,0.16,0.6,5586,6.16
10095,Not Available,Not Available,Not Available,Not Available,583,0.33,0,0.76,Not Available,Not Available
10097,Not Available,Not Available,Not Available,Not Available,1381,0.31,0,0.72,Not Available,Not Available
10099,8,Not Available,Not Available,Not Available,2186,0.3,0,0.71,129,5.18
10100,73,146.15,104.09,188.21,5702,0.33,0.04,0.62,2481,4.31
10101,10,Not Available,Not Available,Not Available,2266,0.28,0,0.67,208,5.88
10102,Not Available,Not Available,Not Available,Not Available,259,0.34,0,0.77,Not Available,Not Available
10103,259,124.73,95.29,154.17,11258,0.46,0.22,0.7,4487,4
10104,219,138.31,106.03,170.59,10302,0.33,0.08,0.58,4083,5.81
10108,7,Not Available,Not Available,Not Available,1759,0.3,0,0.71,87,4.06
10109,4,Not Available,Not Available,Not Available,1321,0.31,0,0.72,65,4.17
10110,Not Available,Not Available,Not Available,Not Available,962,0.33,0,0.76,Not Available,Not Available
10112,Not Available,Not Available,Not Available,Not Available,2708,0.3,0,0.71,207,3.74
10113,269,163.02,134.82,191.22,21351,0.43,0.21,0.65,7200,9.17
10114,63,155.25,111.91,198.59,4713,0.57,0.24,0.9,1013,4.06
10118,67,110.13,66.46,153.8,5958,0.44,0.13,0.75,1039,6.39
10120,3,Not Available,Not Available,Not Available,1578,0.43,0.02,0.84,41,4.52
10125,3,Not Available,Not Available,Not Available,1968,0.31,0,0.72,65,5.76
10126,9,Not Available,Not Available,Not Available,1784,0.3,0,0.71,155,3.89
10128,Not Available,Not Available,Not Available,Not Available,718,0.33,0,0.76,7,Not Available
10129,9,Not Available,Not Available,Not Available,883,0.32,0,0.75,114,4.01
10130,Not Available,Not Available,Not Available,Not Available,992,0.43,0,0.86,5,Not Available
10131,76,135.11,92.68,177.54,7868,0.28,0,0.59,2621,4.8
10137,3,Not Available,Not Available,Not Available,631,0.33,0,0.76,115,5.45
10138,Not Available,Not Available,Not Available,Not Available,442,0.34,0,0.77,Not Available,Not Available
10139,181,137.17,103.36,170.98,11614,0.3,0.05,0.55,4523,8.86
10144,79,114.66,71.78,157.54,5110,0.63,0.32,0.94,1675,6.23
10146,6,Not Available,Not Available,Not Available,1335,0.41,0,0.82,74,4.37
10148,Not Available,Not Available,Not Available,Not Available,2079,0.32,0,0.73,22,Not Available
10149,33,117.48,70.73,164.23,4590,0.28,0,0.61,817,2.06
01014F,,,,,,,,,,
10150,11,Not Available,Not Available,Not Available,1586,0.31,0,0.72,170,3.92
10152,11,Not Available,Not Available,Not Available,1560,0.4,0,0.81,334,3.84
10157,28,137.03,88.34,185.72,1436,0.3,0,0.71,274,8.12
10158,36,118.89,68.4,169.38,2569,0.38,0,0.77,536,3.78
10164,25,139.66,90.5,188.82,2998,0.45,0.06,0.84,333,4.59
10168,35,106.95,54.7,159.2,2406,0.3,0,0.71,1990,4.53
10169,3,Not Available,Not Available,Not Available,1583,0.31,0,0.72,55,4.3
01019F,,,,,,,,,,
01021F,,,,,,,,,,
11300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
11302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
13301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40001,5,Not Available,Not Available,Not Available,1928,0.4,0,0.81,178,3.69
40004,140,102.1,65.29,138.91,9943,0.19,0,0.44,4368,3.33
40007,235,123.21,91.34,155.08,16300,0.24,0.02,0.46,6988,3.46
40010,84,98.86,57.62,140.1,5526,0.6,0.31,0.89,1979,4.38
40014,84,119.71,79.73,159.69,10803,0.36,0.09,0.63,1946,2.09
40015,Not Available,Not Available,Not Available,Not Available,1051,0.32,0,0.75,43,4.47
40016,266,99.46,70.24,128.68,11974,0.3,0.05,0.55,3490,5.02
40017,20,Not Available,Not Available,Not Available,3688,0.32,0,0.67,592,5.61
40018,11,Not Available,Not Available,Not Available,1703,0.29,0,0.7,284,4.43
40022,98,109.1,68.27,149.93,11294,0.49,0.24,0.74,3043,1.78
40026,187,105.11,72.89,137.33,10759,0.36,0.11,0.61,3743,3.72
40027,87,103.57,63.12,144.02,9649,0.45,0.16,0.74,3048,1.99
40039,18,Not Available,Not Available,Not Available,3817,0.41,0.04,0.78,489,3.39
40047,Not Available,Not Available,Not Available,Not Available,1152,0.32,0,0.75,12,Not Available
40050,12,Not Available,Not Available,Not Available,1741,0.29,0,0.68,237,3.63
40055,191,89.81,58.08,121.54,13352,0.27,0.02,0.52,3494,4.76
40062,201,82.4,50.71,114.09,9191,0.46,0.19,0.73,3192,5.76
40069,Not Available,Not Available,Not Available,Not Available,871,0.32,0,0.75,30,4.62
40071,126,129.22,91.08,167.36,8274,0.75,0.46,1.04,2595,4.68
40074,13,Not Available,Not Available,Not Available,1470,0.51,0.1,0.92,169,4.59
40085,3,Not Available,Not Available,Not Available,1870,0.3,0,0.71,63,4.33
40088,27,146.96,99.23,194.69,4889,0.35,0.02,0.68,1712,1.78
40114,386,152.06,127.54,176.58,22929,0.38,0.2,0.56,9079,3.25
40134,77,114.56,70.52,158.6,8709,0.49,0.25,0.73,5551,2.03
41303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41305,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41307,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41313,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41316,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41317,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41321,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41322,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41323,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41331,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
43300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41318,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40019,3,Not Available,Not Available,Not Available,1136,0.32,0,0.75,79,4.3
40051,Not Available,Not Available,Not Available,Not Available,1690,0.42,0.01,0.83,84,4.3
41311,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40078,89,134.69,91.2,178.18,4424,0.49,0.16,0.82,1706,6.42
40152,10,Not Available,Not Available,Not Available,606,0.33,0,0.76,572,2.61
40119,134,109.26,70.41,148.11,7646,0.36,0.07,0.65,2126,4.09
40118,57,126.83,81.1,172.56,6971,0.27,0,0.56,2804,3.66
40036,109,139.17,99.36,178.98,10345,0.4,0.13,0.67,3618,1.42
40084,24,Not Available,Not Available,Not Available,4371,0.23,0,0.58,869,3.65
40080,5,Not Available,Not Available,Not Available,2163,0.3,0,0.71,123,4.07
41329,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41308,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40076,3,Not Available,Not Available,Not Available,2058,0.41,0,0.82,58,4.36
41327,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40072,Not Available,Not Available,Not Available,Not Available,1784,0.31,0,0.72,35,4.51
04009F,,,,,,,,,,
41306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41319,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40011,Not Available,Not Available,Not Available,Not Available,2516,0.3,0,0.71,57,4.41
41302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40020,197,140.36,109.92,170.8,15406,0.48,0.24,0.72,4769,3.79
41328,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40091,Not Available,Not Available,Not Available,Not Available,1694,0.3,0,0.71,35,3.67
40147,6,Not Available,Not Available,Not Available,3018,0.29,0,0.68,2955,1.81
40137,6,Not Available,Not Available,Not Available,2206,0.38,0,0.77,518,3.79
40132,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41310,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40029,67,145.17,101.54,188.8,5991,0.18,0,0.49,1776,4.22
04010F,,,,,,,,,,
41330,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40042,16,Not Available,Not Available,Not Available,3218,0.25,0,0.62,341,4.93
41320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40002,6,Not Available,Not Available,Not Available,1495,0.3,0,0.71,175,3.76
40067,8,Not Available,Not Available,Not Available,1724,0.29,0,0.7,93,5.17
41326,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
40041,20,Not Available,Not Available,Not Available,4519,0.33,0,0.7,926,3.2
640001,,,,,,,,,,
30001,3,Not Available,Not Available,Not Available,1153,0.29,0,0.7,83,5.41
30002,401,87.13,64.3,109.96,18790,0.45,0.25,0.65,7937,3.15
30006,268,107.7,78.75,136.65,16237,0.45,0.21,0.69,7205,6.21
30007,44,120.18,76.3,164.06,3487,0.34,0.01,0.67,1199,3.8
30010,85,118.36,79.51,157.21,6523,0.21,0,0.5,1917,4.01
30011,136,129.68,95.26,164.1,9412,0.23,0,0.5,3232,3.93
30012,131,101.05,63.95,138.15,7340,0.65,0.38,0.92,2765,3.01
30013,154,124.86,90.25,159.47,11207,0.31,0.04,0.58,2792,3.07
30014,143,102.04,67.64,136.44,10296,0.37,0.12,0.62,3308,4.53
30016,36,100.91,51.85,149.97,4574,0.52,0.17,0.87,999,5.28
30022,44,130.67,82.77,178.57,2158,0.26,0,0.65,546,12.23
30023,102,133.17,97.56,168.78,6364,0.21,0,0.5,3174,2.66
30024,376,80.89,57.98,103.8,12767,0.51,0.27,0.75,5826,5.43
30030,123,92.49,55.9,129.08,4824,0.18,0,0.49,2123,4.19
30033,37,79.12,32.75,125.49,2475,0.24,0,0.61,644,4.32
30036,98,109.51,71.25,147.77,7031,0.32,0.03,0.61,1988,2.89
30037,42,97.66,51.07,144.25,2786,0.41,0.04,0.78,1596,2.53
30038,188,77.56,48.2,106.92,11110,0.45,0.21,0.69,3809,3.7
30043,38,111.34,64.3,158.38,4079,0.33,0,0.7,696,5.78
30055,78,105.45,65.05,145.85,6508,0.34,0.07,0.61,1572,3.9
30061,221,107.79,77.45,138.13,24223,0.23,0.05,0.41,7612,3.13
30062,26,104.08,54.34,153.82,2233,0.26,0,0.63,811,5.07
30064,242,99.94,71.13,128.75,10991,0.48,0.21,0.75,4148,3.15
30065,180,100.63,68.96,132.3,10272,0.4,0.13,0.67,3432,3.89
30067,5,Not Available,Not Available,Not Available,1094,0.37,0,0.76,163,3.94
30068,4,Not Available,Not Available,Not Available,1208,0.31,0,0.72,216,3.54
30069,56,107.85,62.55,153.15,5653,0.19,0,0.52,2212,4.5
30071,3,Not Available,Not Available,Not Available,830,0.31,0,0.72,103,4.28
30073,20,Not Available,Not Available,Not Available,1344,0.3,0,0.71,330,3.23
30074,Not Available,Not Available,Not Available,Not Available,93,0.34,0,0.77,Not Available,Not Available
30077,Not Available,Not Available,Not Available,Not Available,29,0.34,0,0.77,Not Available,Not Available
30078,Not Available,Not Available,Not Available,Not Available,372,0.45,0.02,0.88,92,5.53
30083,33,110.48,62.15,158.81,2158,0.45,0.06,0.84,552,3.27
30084,4,Not Available,Not Available,Not Available,867,0.31,0,0.72,90,4.29
30085,136,79.97,42.67,117.27,9415,0.35,0.08,0.62,4179,4.16
30087,189,104.9,70.95,138.85,12831,0.28,0.04,0.52,5706,4.17
30088,118,75.45,42.56,108.34,14843,0.32,0.05,0.59,2917,4.37
30089,162,76.56,44.16,108.96,9569,0.19,0,0.46,2682,4.64
30092,119,83.73,45.71,121.75,6611,0.28,0.01,0.55,2219,5.4
30093,89,97.75,56.53,138.97,12976,0.26,0.01,0.51,3180,3.4
30094,64,87.43,43.11,131.75,4047,0.44,0.09,0.79,1466,4.02
30100,47,96.62,49.95,143.29,2182,0.62,0.29,0.95,1042,4.23
30101,55,109.62,65.32,153.92,5802,0.44,0.13,0.75,1449,4.32
30105,62,95.24,51.45,139.03,4369,0.61,0.36,0.86,2425,2.65
30107,12,Not Available,Not Available,Not Available,871,0.33,0,0.76,853,2.91
30108,4,Not Available,Not Available,Not Available,780,0.33,0,0.76,750,2.78
30110,58,88.01,43.77,132.25,3589,0.21,0,0.56,903,5.62
30111,21,Not Available,Not Available,Not Available,2585,0.26,0,0.65,337,6.5
30112,3,Not Available,Not Available,Not Available,577,0.33,0,0.76,576,2.5
30114,29,113.54,66.17,160.91,3882,0.22,0,0.57,1454,1.46
30117,32,99.77,51.2,148.34,2604,0.67,0.3,1.04,731,3.65
30120,Not Available,Not Available,Not Available,Not Available,1113,0.31,0,0.72,118,4.28
30122,63,100.31,59.54,141.08,4166,0.32,0,0.69,1079,2.34
30130,Not Available,Not Available,Not Available,Not Available,83,0.34,0,0.77,12,Not Available
30131,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03013F,,,,,,,,,,
03033F,,,,,,,,,,
31301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31303,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31312,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31313,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31315,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
33302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30121,91,108.17,68.6,147.74,5212,0.49,0.18,0.8,1854,6.02
31300,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30119,79,94.93,53.79,136.07,5706,0.4,0.09,0.71,1556,2.69
30115,50,112.53,68.84,156.22,5558,0.29,0,0.64,1272,3.14
30132,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30126,49,140.32,96.2,184.44,1674,0.34,0,0.71,628,4.47
30118,14,Not Available,Not Available,Not Available,2257,0.29,0,0.68,511,2.49
30103,382,54.89,30.19,79.59,13619,0.34,0.1,0.58,6378,3
30113,Not Available,Not Available,Not Available,Not Available,366,0.33,0,0.76,7,Not Available
31305,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31302,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
30123,46,76.46,30.87,122.05,2332,0.32,0,0.69,1050,3.78
03012F,,,,,,,,,,
31309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31311,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
50013,42,116.65,73.9,159.4,4494,0.34,0.03,0.65,2275,1.26
50014,20,Not Available,Not Available,Not Available,1940,0.28,0,0.67,421,3.48
50018,17,Not Available,Not Available,Not Available,2676,0.24,0,0.61,281,5.05
50024,26,102.52,59.05,145.99,7224,0.16,0,0.45,465,3.13
50043,135,105.65,71.23,140.07,11131,0.6,0.35,0.85,3272,2.38
50045,27,121.94,74.29,169.59,3951,0.23,0,0.58,684,3.76
50058,108,78.92,44.21,113.63,7833,0.37,0.1,0.64,2316,4.59
50079,19,Not Available,Not Available,Not Available,4540,0.38,0.05,0.71,844,3.87
50082,120,137.4,102.59,172.21,7672,0.25,0,0.54,2234,5.88
50089,21,Not Available,Not Available,Not Available,2328,0.24,0,0.61,311,5.77
50096,Not Available,Not Available,Not Available,Not Available,103,0.34,0,0.77,62,4.32
50101,24,Not Available,Not Available,Not Available,2740,0.39,0.04,0.74,609,4.71
50112,120,115.03,75.63,154.43,10496,0.35,0.06,0.64,2455,8.54
50122,44,118.65,69.49,167.81,3540,0.48,0.13,0.83,1318,4.15
50127,13,Not Available,Not Available,Not Available,1575,0.46,0.07,0.85,373,5.46
50131,18,Not Available,Not Available,Not Available,1848,0.37,0,0.76,564,2.8
50132,36,111.51,66.06,156.96,4446,0.18,0,0.49,679,2.84
50135,16,Not Available,Not Available,Not Available,5416,0.21,0,0.56,111,3.78
50138,141,104.12,71.39,136.85,7557,0.39,0.15,0.63,3569,1.49
50149,36,128.87,82.18,175.56,3829,0.23,0,0.58,682,2.95
50159,28,143.46,95.15,191.77,2450,0.37,0,0.76,536,5.34
50169,173,72.35,43.05,101.65,12483,0.3,0.05,0.55,3376,6.75
50174,153,114.89,82.53,147.25,9347,0.15,0,0.4,3376,4.63
50180,122,112.89,77.41,148.37,11091,0.44,0.2,0.68,3889,2.07
50205,6,Not Available,Not Available,Not Available,1231,0.28,0,0.67,72,4.08
50222,99,108.14,70.92,145.36,7771,0.25,0,0.54,2229,6.32
50224,302,98.05,73.51,122.59,14865,0.43,0.21,0.65,5707,5.29
50236,30,100.53,55.2,145.86,3698,0.36,0.01,0.71,707,2.9
50242,102,118.72,80.93,156.51,7740,0.41,0.12,0.7,2166,2.82
50243,150,142.33,108.89,175.77,8976,0.61,0.34,0.88,3087,3.83
50261,36,108.17,60.64,155.7,4710,0.25,0,0.58,583,3.37
50262,338,107.81,84.17,131.45,10879,0.6,0.35,0.85,5496,3.82
50279,21,Not Available,Not Available,Not Available,1762,0.38,0,0.77,264,4.29
50292,21,Not Available,Not Available,Not Available,4114,0.54,0.19,0.89,427,3.66
50296,11,Not Available,Not Available,Not Available,1756,0.51,0.1,0.92,226,5.92
50301,32,120.94,73.19,168.69,2799,0.25,0,0.62,522,3.9
50313,11,Not Available,Not Available,Not Available,2720,0.26,0,0.65,330,2.94
50327,276,125.72,96.52,154.92,12081,0.61,0.35,0.87,5092,4.53
50348,133,118.86,85.3,152.42,6589,0.46,0.15,0.77,2504,5.62
50349,Not Available,Not Available,Not Available,Not Available,180,0.34,0,0.77,8,Not Available
50352,23,Not Available,Not Available,Not Available,1151,0.31,0,0.72,406,6.48
50380,211,118.5,91.22,145.78,8234,0.35,0.08,0.62,3068,4.5
50385,15,Not Available,Not Available,Not Available,1310,0.28,0,0.67,385,3.28
50393,50,128.95,86.24,171.66,8680,0.26,0,0.55,1553,3.51
50407,13,Not Available,Not Available,Not Available,1630,0.38,0,0.77,239,3.4
50414,40,125.26,80.59,169.93,2986,0.42,0.05,0.79,597,3.35
50424,211,81.42,51.02,111.82,10411,0.42,0.17,0.67,6443,5.88
50435,9,Not Available,Not Available,Not Available,1710,0.38,0,0.77,401,2.97
50441,454,94.56,72.18,116.94,15652,0.34,0.12,0.56,8197,4.78
50444,63,123.65,81.57,165.73,7958,0.25,0,0.54,1446,4.86
50485,154,124.3,90.92,157.68,15259,0.39,0.17,0.61,5029,5.32
50506,25,97.51,51.65,143.37,3053,0.33,0,0.7,1164,3.6
50531,13,Not Available,Not Available,Not Available,1801,0.3,0,0.71,194,3.74
50496,74,119.14,79.9,158.38,6864,0.2,0,0.49,2395,2.98
50510,69,93.24,51.37,135.11,3704,0.35,0.02,0.68,909,8.81
50396,160,123.6,92.18,155.02,11286,0.34,0.09,0.59,4929,2.51
50674,68,99.76,58.82,140.7,5207,0.38,0.07,0.69,1346,3.02
50704,21,Not Available,Not Available,Not Available,5083,0.29,0,0.64,322,3.06
50448,9,Not Available,Not Available,Not Available,1777,0.69,0.3,1.08,226,3.49
51309,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
